SVI Theme: Socioeconomic Status; Below Poverty (Percentile); NaturalBreaks,,,,,
Data downloaded on 30-October-2023,,,,,
Year,County_FIPS,County,State,Obesity Percentage,Below Poverty
2018,8061,Kiowa County,Colorado,19.2,0.2659
2018,13159,Jasper County,Georgia,19.2,0.6959
2018,17061,Greene County,Illinois,19.2,0.4723
2018,17127,Massac County,Illinois,19.2,0.7045
2018,26003,Alger County,Michigan,19.2,0.2854
2018,26043,Dickinson County,Michigan,19.2,0.3962
2018,30031,Gallatin County,Montana,19.2,0.3061
2018,31103,Keya Paha County,Nebraska,19.2,0.0303
2018,42113,Sullivan County,Pennsylvania,19.2,0.4054
2018,47067,Hancock County,Tennessee,19.2,0.9296
2018,48067,Cass County,Texas,19.2,0.7723
2018,13119,Franklin County,Georgia,19.3,0.9156
2018,13201,Miller County,Georgia,19.3,0.8755
2018,13309,Wheeler County,Georgia,19.3,0.9443
2018,17149,Pike County,Illinois,19.3,0.4344
2018,17165,Saline County,Illinois,19.3,0.8567
2018,30079,Prairie County,Montana,19.3,0.2608
2018,30103,Treasure County,Montana,19.3,0.5831
2018,37011,Avery County,North Carolina,19.3,0.4723
2018,47085,Humphreys County,Tennessee,19.3,0.7045
2018,48223,Hopkins County,Texas,19.3,0.6443
2018,48237,Jack County,Texas,19.3,0.5229
2018,48289,Leon County,Texas,19.3,0.6258
2018,51640,Galax City,Virginia,19.3,0.9261
2018,53055,San Juan County,Washington,19.3,0.2704
2018,2105,Hoonah-Angoon Census Area,Alaska,19.4,0.1675
2018,13037,Calhoun County,Georgia,19.4,0.9691
2018,29083,Henry County,Missouri,19.4,0.8366
2018,37167,Stanly County,North Carolina,19.4,0.4653
2018,41003,Benton County,Oregon,19.4,0.7624
2018,46043,Douglas County,South Dakota,19.4,0.0611
2018,46061,Hanson County,South Dakota,19.4,0.0414
2018,46085,Lyman County,South Dakota,19.4,0.8503
2018,47127,Moore County,Tennessee,19.4,0.078
2018,47137,Pickett County,Tennessee,19.4,0.6643
2018,48099,Coryell County,Texas,19.4,0.4115
2018,49009,Daggett County,Utah,19.4,0.008
2018,51520,Bristol City,Virginia,19.4,0.8691
2018,51840,Winchester City,Virginia,19.4,0.5127
2018,6035,Lassen County,California,19.5,0.428
2018,13273,Terrell County,Georgia,19.5,0.9796
2018,17065,Hamilton County,Illinois,19.5,0.1551
2018,17129,Menard County,Illinois,19.5,0.1634
2018,29029,Camden County,Missouri,19.5,0.5831
2018,29129,Mercer County,Missouri,19.5,0.2427
2018,31165,Sioux County,Nebraska,19.5,0.2312
2018,40055,Greer County,Oklahoma,19.5,0.8446
2018,40085,Love County,Oklahoma,19.5,0.4115
2018,48143,Erath County,Texas,19.5,0.828
2018,48161,Freestone County,Texas,19.5,0.6643
2018,48417,Shackelford County,Texas,19.5,0.5006
2018,51820,Waynesboro City,Virginia,19.5,0.6745
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.,,,,,
